ID Species AllocSeed LMR m0 MaxMass mSeed Dist pEstab Gmax SLA palat memo RAR growth mThres clonal propSex meanSpacerLength sdSpacerlength Resshare AllocSpacer mSpacer
5 PFT5clonal1 0.05 0.75 0.3 2000 0.3 0.3 0.5 60 1 1 2 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
13 PFT13clonal1 0.05 0.75 1 5000 1 0.1 0.5 60 0.75 0.5 2 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
14 PFT14clonal1 0.05 0.75 0.3 2000 0.3 0.3 0.5 60 0.75 0.5 2 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
23 PFT23clonal1 0.05 0.75 0.3 2000 0.3 0.3 0.5 60 0.5 0.25 2 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
29 PFT29clonal1 0.05 1 0.3 2000 0.3 0.3 0.5 40 1 1 4 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
30 PFT30clonal1 0.05 1 0.1 1000 0.1 0.6 0.5 40 1 1 4 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
32 PFT32clonal1 0.05 0.75 0.3 2000 0.3 0.3 0.5 40 1 1 4 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
33 PFT33clonal1 0.05 0.75 0.1 1000 0.1 0.6 0.5 40 1 1 4 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
36 PFT36clonal1 0.05 0.5 0.1 1000 0.1 0.6 0.5 40 1 1 4 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
41 PFT41clonal1 0.05 0.75 0.3 2000 0.3 0.3 0.5 40 0.75 0.5 4 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
42 PFT42clonal1 0.05 0.75 0.1 1000 0.1 0.6 0.5 40 0.75 0.5 4 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
44 PFT44clonal1 0.05 0.5 0.3 2000 0.3 0.3 0.5 40 0.75 0.5 4 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
48 PFT48clonal1 0.05 1 0.1 1000 0.1 0.6 0.5 40 0.5 0.25 4 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
50 PFT50clonal1 0.05 0.75 0.3 2000 0.3 0.3 0.5 40 0.5 0.25 4 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
51 PFT51clonal1 0.05 0.75 0.1 1000 0.1 0.6 0.5 40 0.5 0.25 4 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
59 PFT59clonal1 0.05 0.75 0.3 2000 0.3 0.3 0.5 20 1 1 6 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
60 PFT60clonal1 0.05 0.75 0.1 1000 0.1 0.6 0.5 20 1 1 6 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
62 PFT62clonal1 0.05 0.5 0.3 2000 0.3 0.3 0.5 20 1 1 6 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
68 PFT68clonal1 0.05 0.75 0.3 2000 0.3 0.3 0.5 20 0.75 0.5 6 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
69 PFT69clonal1 0.05 0.75 0.1 1000 0.1 0.6 0.5 20 0.75 0.5 6 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
75 PFT75clonal1 0.05 1 0.1 1000 0.1 0.6 0.5 20 0.5 0.25 6 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
86 PFT5clonal2 0.05 0.75 0.3 2000 0.3 0.3 0.5 60 1 1 2 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
94 PFT13clonal2 0.05 0.75 1 5000 1 0.1 0.5 60 0.75 0.5 2 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
104 PFT23clonal2 0.05 0.75 0.3 2000 0.3 0.3 0.5 60 0.5 0.25 2 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
114 PFT33clonal2 0.05 0.75 0.1 1000 0.1 0.6 0.5 40 1 1 4 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
128 PFT47clonal2 0.05 1 0.3 2000 0.3 0.3 0.5 40 0.5 0.25 4 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
129 PFT48clonal2 0.05 1 0.1 1000 0.1 0.6 0.5 40 0.5 0.25 4 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
132 PFT51clonal2 0.05 0.75 0.1 1000 0.1 0.6 0.5 40 0.5 0.25 4 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
166 PFT4clonal3 0.05 0.75 1 5000 1 0.1 0.5 60 1 1 2 1 0.25 0.2 1 1 17.5 12.5 1 0.05 70
167 PFT5clonal3 0.05 0.75 0.3 2000 0.3 0.3 0.5 60 1 1 2 1 0.25 0.2 1 1 17.5 12.5 1 0.05 70
170 PFT8clonal3 0.05 0.5 0.3 2000 0.3 0.3 0.5 60 1 1 2 1 0.25 0.2 1 1 17.5 12.5 1 0.05 70
171 PFT9clonal3 0.05 0.5 0.1 1000 0.1 0.6 0.5 60 1 1 2 1 0.25 0.2 1 1 17.5 12.5 1 0.05 70
176 PFT14clonal3 0.05 0.75 0.3 2000 0.3 0.3 0.5 60 0.75 0.5 2 1 0.25 0.2 1 1 17.5 12.5 1 0.05 70
178 PFT16clonal3 0.05 0.5 1 5000 1 0.1 0.5 60 0.75 0.5 2 1 0.25 0.2 1 1 17.5 12.5 1 0.05 70
179 PFT17clonal3 0.05 0.5 0.3 2000 0.3 0.3 0.5 60 0.75 0.5 2 1 0.25 0.2 1 1 17.5 12.5 1 0.05 70
185 PFT23clonal3 0.05 0.75 0.3 2000 0.3 0.3 0.5 60 0.5 0.25 2 1 0.25 0.2 1 1 17.5 12.5 1 0.05 70
192 PFT30clonal3 0.05 1 0.1 1000 0.1 0.6 0.5 40 1 1 4 1 0.25 0.2 1 1 17.5 12.5 1 0.05 70
194 PFT32clonal3 0.05 0.75 0.3 2000 0.3 0.3 0.5 40 1 1 4 1 0.25 0.2 1 1 17.5 12.5 1 0.05 70
195 PFT33clonal3 0.05 0.75 0.1 1000 0.1 0.6 0.5 40 1 1 4 1 0.25 0.2 1 1 17.5 12.5 1 0.05 70
197 PFT35clonal3 0.05 0.5 0.3 2000 0.3 0.3 0.5 40 1 1 4 1 0.25 0.2 1 1 17.5 12.5 1 0.05 70
198 PFT36clonal3 0.05 0.5 0.1 1000 0.1 0.6 0.5 40 1 1 4 1 0.25 0.2 1 1 17.5 12.5 1 0.05 70
203 PFT41clonal3 0.05 0.75 0.3 2000 0.3 0.3 0.5 40 0.75 0.5 4 1 0.25 0.2 1 1 17.5 12.5 1 0.05 70
204 PFT42clonal3 0.05 0.75 0.1 1000 0.1 0.6 0.5 40 0.75 0.5 4 1 0.25 0.2 1 1 17.5 12.5 1 0.05 70
210 PFT48clonal3 0.05 1 0.1 1000 0.1 0.6 0.5 40 0.5 0.25 4 1 0.25 0.2 1 1 17.5 12.5 1 0.05 70
216 PFT54clonal3 0.05 0.5 0.1 1000 0.1 0.6 0.5 40 0.5 0.25 4 1 0.25 0.2 1 1 17.5 12.5 1 0.05 70
221 PFT59clonal3 0.05 0.75 0.3 2000 0.3 0.3 0.5 20 1 1 6 1 0.25 0.2 1 1 17.5 12.5 1 0.05 70
224 PFT62clonal3 0.05 0.5 0.3 2000 0.3 0.3 0.5 20 1 1 6 1 0.25 0.2 1 1 17.5 12.5 1 0.05 70
243 PFT81clonal3 0.05 0.5 0.1 1000 0.1 0.6 0.5 20 0.5 0.25 6 1 0.25 0.2 1 1 17.5 12.5 1 0.05 70
260 PFT17clonal4 0.05 0.5 0.3 2000 0.3 0.3 0.5 60 0.75 0.5 2 1 0.25 0.2 1 1 17.5 12.5 0 0.05 70
268 PFT25clonal4 0.05 0.5 1 5000 1 0.1 0.5 60 0.5 0.25 2 1 0.25 0.2 1 1 17.5 12.5 0 0.05 70
269 PFT26clonal4 0.05 0.5 0.3 2000 0.3 0.3 0.5 60 0.5 0.25 2 1 0.25 0.2 1 1 17.5 12.5 0 0.05 70
270 PFT27clonal4 0.05 0.5 0.1 1000 0.1 0.6 0.5 60 0.5 0.25 2 1 0.25 0.2 1 1 17.5 12.5 0 0.05 70
275 PFT32clonal4 0.05 0.75 0.3 2000 0.3 0.3 0.5 40 1 1 4 1 0.25 0.2 1 1 17.5 12.5 0 0.05 70
